player_name,season,team
AD Russell,2016,Kolkata Knight Riders
AD Russell,2018,Kolkata Knight Riders
AD Russell,2019,Kolkata Knight Riders
AD Russell,2020,Kolkata Knight Riders
AD Russell,2021,Kolkata Knight Riders
AD Russell,2022,Kolkata Knight Riders
AD Russell,2023,Kolkata Knight Riders
AD Russell,2024,Kolkata Knight Riders
AF Milne,2016,Royal Challengers Bengaluru
AF Milne,2017,Royal Challengers Bengaluru
AF Milne,2021,Mumbai Indians
AF Milne,2022,Chennai Super Kings
AG Murtaza,2010,Mumbai Indians
AG Murtaza,2011,Mumbai Indians
AG Murtaza,2012,Pune Warriors
AG Murtaza,2013,Pune Warriors
AG Paunikar,2010,Rajasthan Royals
AG Paunikar,2011,Rajasthan Royals
AJ Finch,2010,Rajasthan Royals
AJ Finch,2011,Delhi Capitals
AJ Finch,2012,Delhi Capitals
AJ Finch,2013,Pune Warriors
AJ Finch,2014,Sunrisers Hyderabad
AJ Finch,2015,Mumbai Indians
AJ Finch,2016,Gujarat Lions
AJ Finch,2017,Gujarat Lions
AJ Finch,2018,Punjab Kings
AJ Finch,2020,Royal Challengers Bengaluru
AJ Finch,2022,Kolkata Knight Riders
AJ Hosein,2023,Sunrisers Hyderabad
AJ Turner,2019,Rajasthan Royals
AJ Turner,2024,Lucknow Super Giants
AJ Tye,2017,Gujarat Lions
AJ Tye,2018,Punjab Kings
AJ Tye,2019,Punjab Kings
AJ Tye,2020,Rajasthan Royals
AJ Tye,2022,Lucknow Super Giants
AK Markram,2021,Punjab Kings
AK Markram,2022,Sunrisers Hyderabad
AK Markram,2023,Sunrisers Hyderabad
AK Markram,2024,Sunrisers Hyderabad
AL Menaria,2011,Rajasthan Royals
AL Menaria,2012,Rajasthan Royals
AL Menaria,2013,Rajasthan Royals
AM Nayar,2008,Mumbai Indians
AM Nayar,2009,Mumbai Indians
AM Nayar,2010,Mumbai Indians
AM Nayar,2011,Punjab Kings
AM Nayar,2012,Punjab Kings
AM Nayar,2013,Pune Warriors
AM Nayar,2014,Rajasthan Royals
AM Rahane,2008,Mumbai Indians
AM Rahane,2009,Mumbai Indians
AM Rahane,2011,Rajasthan Royals
AM Rahane,2012,Rajasthan Royals
AM Rahane,2013,Rajasthan Royals
AM Rahane,2014,Rajasthan Royals
AM Rahane,2015,Rajasthan Royals
AM Rahane,2016,Rising Pune Supergiant
AM Rahane,2017,Rising Pune Supergiant
AM Rahane,2018,Rajasthan Royals
AM Rahane,2019,Rajasthan Royals
AM Rahane,2020,Delhi Capitals
AM Rahane,2021,Delhi Capitals
AM Rahane,2022,Kolkata Knight Riders
AM Rahane,2023,Chennai Super Kings
AM Rahane,2024,Chennai Super Kings
AM Salvi,2009,Delhi Capitals
AM Salvi,2011,Delhi Capitals
AN Ahmed,2010,Mumbai Indians
AN Ahmed,2011,Mumbai Indians
AN Ahmed,2012,Mumbai Indians
AN Ahmed,2013,Mumbai Indians
AN Ahmed,2014,Royal Challengers Bengaluru
AN Ahmed,2015,Royal Challengers Bengaluru
AN Ghosh,2009,Kolkata Knight Riders
AP Dole,2010,Rajasthan Royals
AP Majumdar,2012,Pune Warriors
AP Tare,2010,Mumbai Indians
AP Tare,2013,Mumbai Indians
AP Tare,2014,Mumbai Indians
AP Tare,2015,Mumbai Indians
AP Tare,2016,Sunrisers Hyderabad
AP Tare,2017,Delhi Capitals
AR Bawne,2017,Delhi Capitals
AR Patel,2014,Punjab Kings
AR Patel,2015,Punjab Kings
AR Patel,2016,Punjab Kings
AR Patel,2017,Punjab Kings
AR Patel,2018,Punjab Kings
AR Patel,2019,Delhi Capitals
AR Patel,2020,Delhi Capitals
AR Patel,2021,Delhi Capitals
AR Patel,2022,Delhi Capitals
AR Patel,2023,Delhi Capitals
AR Patel,2024,Delhi Capitals
AS Joseph,2019,Mumbai Indians
AS Joseph,2022,Gujarat Titans
AS Joseph,2023,Gujarat Titans
AS Joseph,2024,Royal Challengers Bengaluru
AS Rajpoot,2013,Chennai Super Kings
AS Rajpoot,2016,Kolkata Knight Riders
AS Rajpoot,2017,Kolkata Knight Riders
AS Rajpoot,2018,Punjab Kings
AS Rajpoot,2019,Punjab Kings
AS Rajpoot,2020,Rajasthan Royals
AS Raut,2009,Rajasthan Royals
AS Raut,2010,Rajasthan Royals
AS Raut,2011,Rajasthan Royals
AS Roy,2019,Mumbai Indians
AS Roy,2022,Kolkata Knight Riders
AS Roy,2023,Kolkata Knight Riders
AS Roy,2024,Kolkata Knight Riders
AS Yadav,2008,Deccan Chargers
AT Carey,2020,Delhi Capitals
AT Rayudu,2010,Mumbai Indians
AT Rayudu,2011,Mumbai Indians
AT Rayudu,2012,Mumbai Indians
AT Rayudu,2013,Mumbai Indians
AT Rayudu,2014,Mumbai Indians
AT Rayudu,2015,Mumbai Indians
AT Rayudu,2016,Mumbai Indians
AT Rayudu,2017,Mumbai Indians
AT Rayudu,2018,Chennai Super Kings
AT Rayudu,2019,Chennai Super Kings
AT Rayudu,2020,Chennai Super Kings
AT Rayudu,2021,Chennai Super Kings
AT Rayudu,2022,Chennai Super Kings
AT Rayudu,2023,Chennai Super Kings
AU Rashid,2021,Punjab Kings
AU Rashid,2023,Sunrisers Hyderabad
AUK Pathan,2011,Royal Challengers Bengaluru
AUK Pathan,2012,Royal Challengers Bengaluru
Aaron Finch,2014,Sunrisers Hyderabad
Aaron Finch,2015,Mumbai Indians
Aaron Finch,2016,Gujarat Lions
Aaron Finch,2018,Punjab Kings
Aaron Finch,2020,Royal Challengers Bengaluru
Aaron Finch,2026,Royal Challengers Bengaluru
Aaron Hardie,2025,Punjab Kings
Aaron Hardie,2026,Punjab Kings
Abdul Basith,2023,Rajasthan Royals
